Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Heart health | Batter diet | vegetarian vs non vegetarian | #shorts,vd97730khuQ,ALL IN ONE,2025-03-22T04:34:30Z,https://www.youtube.com/watch?v=vd97730khuQ,health #doctor #heart #mbbs #who.,20,11413,0,2
"Top Vitamins for Heart Health, Strong Bones & Youthful Vitality | Dr Sahar Chawla",O7weutAcgro,Dr Sahar Chawla,2025-01-02T12:44:14Z,https://www.youtube.com/watch?v=O7weutAcgro,"Top Vitamins for Heart Health, Strong Bones & Youthful Vitality | Dr Sahar Chawla #Vitamins #HearthHealth #DrSaharChawla.",238,10535,524,29
top 10 best fruits for heart health  #youtubeshorts #healthtips #healthylifestyle #food,SfvZNS6-PCc,The Well-Being,2025-03-27T23:00:34Z,https://www.youtube.com/watch?v=SfvZNS6-PCc,top 10 best fruits for heart health #youtubeshorts #healthtips #healthylifestyle #food #health #fitness #healthylifestyle #wellness ...,32,10606,113,2
Beetroot Carrot shakes Recipe For Heart Health - MOO RECIPE #shorts #viral,eFWlOgfEhhU,MOO RECIPE,2025-03-23T12:10:37Z,https://www.youtube.com/watch?v=eFWlOgfEhhU,Beetroot Carrot shakes Recipe For Heart Health ❤️ Ultimate Heart-Healthy Juice! Avoid Heart Attacks Naturally!” YouTube ...,24,13215,151,1
Heart health pumpkin soup 😜 #trending #viral #shorts #shortsfeed #heart #healthy #pumpkin #soup #yt,m8t2QSOtfWQ,Pakwan Tales,2025-02-08T10:30:32Z,https://www.youtube.com/watch?v=m8t2QSOtfWQ,kitchen #youtubeshorts #shorts #shortsfeed #recipe #food #indianfood #india #subscribe #like #share #ytshorts #ytshort #yt ...,,,,
Which Oil is Best for Heart Health? | Heart-Healthy Cooking Oils Explained #hearthealth #heartattack,mi9VH1-8-0Q,Digital Jockey,2025-02-11T15:30:16Z,https://www.youtube.com/watch?v=mi9VH1-8-0Q,ये तेल आपकी सेहत के लिए जरूरी है #hearthealth #heartattack #heart Discover the best oils for heart ...,88,9890,303,1
Mudra-23: To avoid heart attack #mudra #yoga #yogachallenge #health #fitness #backmudra #hearthealth,TMBk0hSQopY,Harshal Fitness Vlogs,2025-03-07T14:30:47Z,https://www.youtube.com/watch?v=TMBk0hSQopY,,12,9296,255,0
Heart health// Dr Amit Singh #shorts,N2XQ0YaqRT0,Dr. Amit Singh - Ayurvidyaa,2025-01-11T09:30:10Z,https://www.youtube.com/watch?v=N2XQ0YaqRT0,,4,8677,0,0
5 Best Foods to Lower Blood Pressure & Support Heart Health! #hearthealth #health #wellness,KPrnBbDMC2g,VitalizingHealthTips,2025-03-30T15:00:33Z,https://www.youtube.com/watch?v=KPrnBbDMC2g,5 Best Foods to Lower Blood Pressure & Support Heart Health! #HeartHealth #health #wellness Want to keep your heart healthy ...,40,15832,476,7
Eat These Foods for Heart Health,aaoWc40YsYg,Alinart Health,2025-01-08T16:00:03Z,https://www.youtube.com/watch?v=aaoWc40YsYg,Discover the top heart health foods that are essential for a healthy heart diet! Curious about the best foods for heart health and ...,35,8123,415,1
